timestamp,x,y,z,qx,qy,qz,qw
0.000000,2.504098189,-0.028883000,-2.155708008,0.000000000,0.000000000,-0.000528556,0.999999860
0.050000,3.014837766,-0.029422909,-2.181442573,0.000000000,0.000000000,-0.000528556,0.999999860
0.100000,3.525577343,-0.029962818,-2.207177139,0.000000000,0.000000000,-0.000528556,0.999999860
0.150000,4.036316921,-0.030502727,-2.232911704,0.000000000,0.000000000,-0.000528556,0.999999860
0.200000,4.547056498,-0.031042636,-2.258646270,0.000000000,0.000000000,-0.000528556,0.999999860
0.250000,5.057796075,-0.031582544,-2.284380836,0.000000000,0.000000000,-0.000528556,0.999999860
0.300000,5.568535653,-0.032122453,-2.310115401,0.000000000,0.000000000,-0.000528556,0.999999860
0.350000,6.079275230,-0.032662362,-2.335849967,0.000000000,0.000000000,-0.000528556,0.999999860
0.400000,6.590014807,-0.033202271,-2.361584532,0.000000000,0.000000000,-0.000528556,0.999999860
0.450000,7.100754385,-0.033742180,-2.387319098,0.000000000,0.000000000,-0.000528556,0.999999860
0.500000,7.611493962,-0.034282089,-2.413053663,0.000000000,0.000000000,-0.000528556,0.999999860
0.550000,8.122233539,-0.034821998,-2.438788229,0.000000000,0.000000000,-0.000528556,0.999999860
0.600000,8.632973117,-0.035361907,-2.464522794,0.000000000,0.000000000,-0.000528556,0.999999860
0.650000,9.143712694,-0.035901816,-2.490257360,0.000000000,0.000000000,-0.000528556,0.999999860
0.700000,9.654452271,-0.036441725,-2.515991925,0.000000000,0.000000000,-0.000528556,0.999999860
0.750000,10.165191849,-0.036981634,-2.541726491,0.000000000,0.000000000,-0.000528556,0.999999860
0.800000,10.675931426,-0.037521543,-2.567461057,0.000000000,0.000000000,-0.000528556,0.999999860
0.850000,11.186671003,-0.038061452,-2.593195622,0.000000000,0.000000000,-0.000528556,0.999999860
0.900000,11.697410581,-0.038601361,-2.618930188,0.000000000,0.000000000,-0.000528556,0.999999860
0.950000,12.208150158,-0.039141270,-2.644664753,0.000000000,0.000000000,-0.000528556,0.999999860
1.000000,12.718889735,-0.039681179,-2.670399319,0.000000000,0.000000000,-0.000528556,0.999999860
1.050000,13.229629313,-0.040221088,-2.696133884,0.000000000,0.000000000,-0.000528556,0.999999860
1.100000,13.740368890,-0.040760997,-2.721868450,0.000000000,0.000000000,-0.000528556,0.999999860
1.150000,14.251108467,-0.041300906,-2.747603015,0.000000000,0.000000000,-0.000528556,0.999999860
1.200000,14.761848045,-0.041840815,-2.773337581,0.000000000,0.000000000,-0.000528556,0.999999860
1.250000,15.272587622,-0.042380724,-2.799072147,0.000000000,0.000000000,-0.000528556,0.999999860
1.300000,15.783327199,-0.042920633,-2.824806712,0.000000000,0.000000000,-0.000528556,0.999999860
1.350000,16.294066777,-0.043460542,-2.850541278,0.000000000,0.000000000,-0.000528556,0.999999860
1.400000,16.804806354,-0.044000451,-2.876275843,0.000000000,0.000000000,-0.000528556,0.999999860
1.450000,17.315545931,-0.044540360,-2.902010409,0.000000000,0.000000000,-0.000528556,0.999999860
1.500000,17.826285509,-0.045080269,-2.927744974,0.000000000,0.000000000,-0.000528556,0.999999860
1.550000,18.337025086,-0.045620178,-2.953479540,0.000000000,0.000000000,-0.000528556,0.999999860
1.600000,18.847764664,-0.046160087,-2.979214105,0.000000000,0.000000000,-0.000528556,0.999999860
1.650000,19.358504241,-0.046699996,-3.004948671,0.000000000,0.000000000,-0.000528556,0.999999860
