timestamp,x,y,z,qx,qy,qz,qw
1773302627.117532,-7.797241474690959e-05,-1.0070796533909049e-05,-1.2224783897399902,0.0,0.0,-3.14083241064656e-08,0.9999999999999996
1773302627.167532,0.504196097848161,-1.0102473340783657e-05,-1.2016111612319946,0.0,0.0,-3.206682147884375e-08,0.9999999999999994
1773302627.217532,1.0089998149845432,-1.0135512368442648e-05,-1.2014222145080566,0.0,0.0,-3.256100199311168e-08,0.9999999999999994
1773302627.267532,1.5093392038318931,-1.0167930274138254e-05,-1.201560616493225,0.0,0.0,-3.2579399038848056e-08,0.9999999999999994
1773302627.317532,2.0101086997959423,-1.0200743420121862e-05,-1.2019561529159546,0.0,0.0,-3.257838746089009e-08,0.9999999999999994
1773302627.367532,2.5146481895420347,-1.0233432965447013e-05,-1.2014117240905762,0.0,0.0,-3.1876249129818325e-08,0.9999999999999994
1773302627.417532,3.020078411099651,-1.0265131512384037e-05,-1.2013517618179321,0.0,0.0,-3.1647615948455123e-08,0.9999999999999994
1773302627.467532,3.521216621396281,-1.0297143947761337e-05,-1.2022031545639038,0.0,0.0,-3.20853230284849e-08,0.9999999999999994
1773302627.517532,4.034029712674356,-1.0330197422476392e-05,-1.2021033763885498,0.0,0.0,-3.18226841323559e-08,0.9999999999999994
1773302627.567532,4.545707931515908,-1.0362348074477898e-05,-1.2016702890396118,0.0,0.0,-3.0694072047748835e-08,0.9999999999999996
1773302627.617532,5.05478548049662,-1.0392859724637775e-05,-1.201151728630066,0.0,0.0,-2.9072747652559963e-08,0.9999999999999996
1773302627.667532,5.557236423489783,-1.042116389965896e-05,-1.200618028640747,0.0,0.0,-2.7149199166319493e-08,0.9999999999999997
1773302627.717532,6.065289726254675,-1.0447728486690769e-05,-1.2000725269317627,0.0,0.0,-2.504701268635941e-08,0.9999999999999997
1773302627.767532,6.574439754483434,-1.047211970913097e-05,-1.5995270252227783,0.0,0.0,-2.2794451900543407e-08,0.9999999999999998
1773302627.817532,7.084167709347936,-1.0494178017047053e-05,-1.698981523513794,0.0,0.0,-2.0429422015532757e-08,0.9999999999999998
1773302627.867532,7.594201793668004,-1.0513786007238814e-05,-1.7984360218048096,0.0,0.0,-1.7984928633697157e-08,0.9999999999999999
1773302627.917532,8.100817909238073,-1.053074677962797e-05,-1.8978943347930908,0.0,0.0,-1.5462242666389666e-08,0.9999999999999999
1773302627.967532,8.614700546261997,-1.0545344405945526e-05,-1.9973450183868408,0.0,0.0,-1.2924876582485531e-08,0.9999999999999999
1773302628.017532,9.125017395016881,-1.0557222083527042e-05,-1.91967995166778564,0.0,0.0,-1.036069873166685e-08,1.0
1773302628.067532,9.635334243771764,-1.0566493362456098e-05,-1.9296254014968872,0.0,0.0,-7.821445308567415e-09,1.0
1773302628.117532,10.138513793942662,-1.0573076096836298e-05,-1.9395716142654419,0.0,0.0,2.8105810608309056e-07,0.9999999999999605
1773302628.167532,10.890584220884,-9.860897e-06,-1.9467569351196,0.0,0.0,3.069999047499183e-07,0.9999999999999529
1773302628.217532,11.390195121763,-9.804544e-06,-1.955112695694,0.0,0.0,5.944534153241752e-08,0.9999999999999982
1773302628.267532,11.900511970517,-9.740826e-06,-1.9580087184906,0.0,0.0,6.559216651575025e-08,0.9999999999999979
1773302628.317532,12.40726016998,-9.671121e-06,-1.9576572418213,0.0,0.0,7.213704601329548e-08,0.9999999999999974
1773302628.367532,12.921145668027,-9.593575e-06,-1.9576572418213,0.0,0.0,7.888236172497096e-08,0.9999999999999969
1773302628.417532,13.431462516782,-9.509538e-06,-1.9576572418213,0.0,0.0,8.586577164148658e-08,0.9999999999999963
1773302628.467532,13.941779365537,-9.4183e-06,-1.9576572418213,0.0,0.0,9.304411408307502e-08,0.9999999999999957
1773302628.517532,14.455664863584,-9.318946e-06,-1.9576572418213,0.0,0.0,1.0039520053928959e-07,0.999999999999995
1773302628.567532,14.965981712339,-9.21265e-06,-1.9576572418213,0.0,0.0,1.0799819034332106e-07,0.9999999999999941
1773302628.617532,15.479867210386,-9.097722e-06,-1.9576572418213,0.0,0.0,1.15745682842997e-07,0.9999999999999933
1773302628.667532,15.990184059141,-8.975556e-06,-1.9576572418213,0.0,0.0,1.2371811975373812e-07,0.9999999999999923
1773302628.717532,16.50050186157,-8.84518e-06,-1.9576572418213,0.0,0.0,1.3185913278946186e-07,0.9999999999999913
1773302628.767532,17.010818710325,-8.706396e-06,-1.9576572418213,0.0,0.0,1.401967232211572e-07,0.9999999999999901
1773302628.817532,17.52113555908,-8.559001e-06,-1.9576572418213,0.0,0.0,1.4876308424393692e-07,0.9999999999999889
1773302628.867532,18.035021057126,-8.401669e-06,-2.065579891205,0.0,0.0,1.5749231634140658e-07,0.9999999999999876
1773302628.917532,18.545337905881,-8.236393e-06,-2.065034389496,0.0,0.0,1.6643777333084622e-07,0.9999999999999861
1773302628.967532,19.055654754636,-8.061925e-06,-2.164488887787,0.0,0.0,1.7554045142452896e-07,0.9999999999999846
1773302629.017532,19.565971603391,-7.878068e-06,-2.163943386078,0.0,0.0,1.8483075804788647e-07,0.9999999999999829
1773302629.067532,20.076288452146,-7.684636e-06,-2.263397884369,0.0,0.0,1.9430575385058379e-07,0.9999999999999811
